Location,Year,ActualHours,ExpectedHours,CoveragePercent
"Cape Girardeau, MO",2019,4380,4380,100.0
"O'Fallon, MO",2019,4380,4380,100.0
"Reform Callaway, MO",2019,4380,4380,100.0
"Cass County, IL",2019,4380,4380,100.0
"White, IL",2019,4380,4380,100.0
"Warren, MO",2019,4380,4380,100.0
"Cape Girardeau, MO",2020,4380,4392,99.72677595628416
"O'Fallon, MO",2020,4380,4392,99.72677595628416
"Reform Callaway, MO",2020,4380,4392,99.72677595628416
"Cass County, IL",2020,4380,4392,99.72677595628416
"White, IL",2020,4380,4392,99.72677595628416
"Warren, MO",2020,4380,4392,99.72677595628416
"Cape Girardeau, MO",2021,4380,4380,100.0
"O'Fallon, MO",2021,4380,4380,100.0
"Reform Callaway, MO",2021,4380,4380,100.0
"Cass County, IL",2021,4380,4380,100.0
"White, IL",2021,4380,4380,100.0
"Warren, MO",2021,4380,4380,100.0
"Cape Girardeau, MO",2022,4379,4380,99.9771689497717
"O'Fallon, MO",2022,4379,4380,99.9771689497717
"Reform Callaway, MO",2022,4379,4380,99.9771689497717
"Cass County, IL",2022,4379,4380,99.9771689497717
"White, IL",2022,4379,4380,99.9771689497717
"Warren, MO",2022,4379,4380,99.9771689497717
