Location,Year,ActualHours,ExpectedHours,CoveragePercent
"Howard, IA",2018,7880,8760,89.95433789954338
"Howard, IA",2019,8193,8760,93.52739726027397
"Howard, IA",2020,8582,8784,97.70036429872495
"Howard, IA",2021,8759,8760,99.98858447488584
"Howard, IA",2022,8760,8760,100.0
"Howard, IA",2023,8760,8760,100.0
"Atchison, MO",2018,8532,8760,97.3972602739726
"Atchison, MO",2019,8487,8760,96.88356164383562
"Atchison, MO",2020,8371,8784,95.29826958105647
"Atchison, MO",2021,8759,8760,99.98858447488584
"Atchison, MO",2022,8760,8760,100.0
"Atchison, MO",2023,8760,8760,100.0
"Schuyler, MO",2018,8676,8760,99.04109589041096
"Schuyler, MO",2019,8672,8760,98.99543378995433
"Schuyler, MO",2020,8636,8784,98.31511839708561
"Schuyler, MO",2021,8759,8760,99.98858447488584
"Schuyler, MO",2022,8760,8760,100.0
"Schuyler, MO",2023,8760,8760,100.0
"McLean, IL",2018,8732,8760,99.68036529680366
"McLean, IL",2019,8740,8760,99.77168949771689
"McLean, IL",2020,8765,8784,99.78369763205829
"McLean, IL",2021,8751,8760,99.8972602739726
"McLean, IL",2022,8760,8760,100.0
"McLean, IL",2023,8760,8760,100.0
"Piatt, IL",2018,8745,8760,99.82876712328768
"Piatt, IL",2019,8719,8760,99.53196347031964
"Piatt, IL",2020,8767,8784,99.80646630236795
"Piatt, IL",2021,8760,8760,100.0
"Piatt, IL",2022,8760,8760,100.0
"Piatt, IL",2023,8760,8760,100.0
"Monroe, IL",2018,8704,8760,99.3607305936073
"Monroe, IL",2019,8717,8760,99.50913242009133
"Monroe, IL",2020,8769,8784,99.8292349726776
"Monroe, IL",2021,8760,8760,100.0
"Monroe, IL",2022,8760,8760,100.0
"Monroe, IL",2023,8760,8760,100.0
"Carroll, AR",2018,0,8760,0.0
"Carroll, AR",2019,0,8760,0.0
"Carroll, AR",2020,0,8784,0.0
"Carroll, AR",2021,8741,8760,99.78310502283105
"Carroll, AR",2022,8760,8760,100.0
"Carroll, AR",2023,8760,8760,100.0
